Artist;Genre
Igor Gonya;Folamour
Superlover;Nu-Disco
Carly Simon;Retro
Honey Dijon, Tim K, Nomi Ruiz;RnB
The Fatback Band;Funk
Zakem;House
Gang Starr;Hip-Hop
J Balvin, Nicky Jam;Reggaeton
Champion, Mina;Beats
Baccara;Disco
Bileo;Folamour
Róisín Murphy;Electronic
KAYTRANADA, SYD;Neo-Soul
King Tutt;Funk
Peter Bjorn and John;Prechill
Young Jeezy ft Jay-Z;BPM Supreme
PLS&TY, Sofiya Nzau;Afro House
Genka, Paul Oja, Taavi Paomets;Eesti-S
Kedr Livanskiy;Ambient
Jimmy Ross;
Falty DL;
elkka;
Hiver;
Lehar;
Zoo Brazil;
AVAION, Sofiya Nzau;
Coldplay;
Jonas Blue, Malive;
Ron Trent;
Jah Moon, Steven T.  Easter;
Mind Enterprises;
Byron the Aquarius;
Karizma;
Ben Hauke;
Coast To Coast;
Ed Solo;
Colau;
Matt Karmil;
Dawn Wall;
Tom Noble, Harvey Sutherland;
Kraak & Smaak, Izo FitzRoy;
Sofia Kourtesis, Daphni;
Luces, Plastic Plates, Amtrac;
Glonti.Mak;
Silvi Jan, ras;
Lovebirds, Minako;
Nu Genea;
Miami Sound Machine, Gloria Estefan;Disco
David Jackson;Trance
Slightly Stoopid;Prechill
Hak Baker;Ambient
Travis Scott;Hip-Hop
The Beatles;Retro
Gerry Read;Prechill
Luke Alessi, Jordan Brando;House
Visionaries, J. Dilla, Jay Dee;Hip-Hop
Kid Rock;90/00s
Funk D'void;Deeper
Rebūke, Konstantin Sibold, Zac, CARMEE;Progressive
Real McCoy;90/00s
Kidy;Progressive
Audio Junkies;Progressive
Richard Grey;Nu-Disco
Bullion;Prechill
Gina Jeanz;Africano
Cassius;Electronic
Enrique Guzmán, Teen Tops;Retro
Calvin Harris, Tom Grennan;Mainstream Dance
Carly Rae Jepsen;Pop
Renni Rucci;RnB
Champions League Orchestra, Tony Britten;Utility
2Pac, Talent;Hip-Hop
Alex Herrera;Folamour
Kelly Khumalo;Africano
Furacão 2000, MC Neném;Beats
Rita Ray;Eesti-S
Tom Misch, Poppy Ajudha;Prechill
Christian S;Folamour
Florence + the Machine;Pop
Sirens Of Lesbos;EDM
Fania All Stars;Retro
Solu Music, Kimblee;House
HAIM;Prechill
Disclosure, Al Green;Prechill
Goom Gum, Kinky Sound;Progressive
Monkey Safari, DJ Island;Prechill
LP Giobbi, Caroline Byrne;Prechill
Thundercat;Prechill
Magic Source;Prechill
Spencer Davis Group;Retro
Shy FX, Kojey Radical, Nile Rodgers;Mainstream Dance
Mr. Oizo, Charli xcx;Pop
The Blessed Madonna, Clementine Douglas;House
Kreisler, GalviK;Nu-Disco
Tube, Berger, In.Deed;Mainstream Dance
Florian Wahl;Eesti-S
Indrek Ventmann;Eesti-S
Kevin Di Serna;Progressive
Katy Perry;Pop
Gorillaz, George Benson;Prechill
Ex-Pylon;Ambient
DJ Lace, SI22KILE;Folamour
Diddy, Faith Evans, 112;RnB
Jimi Jamison;Utility
Harry Nathan, Angus1;Ambient
cloudburst;Funk
David Guetta, MistaJam, John Newman;EDM
DJ Koze;Ambient
INES;Eesti-S
Fort Arkansas;House
Tom Jones;Retro
R.E.M.;90/00s
Super Flu;Deeper
Five;90/00s
Ruja;Eesti-S
Röövel Ööbik;Eesti-S
Sander Mölder;Eesti-S
Afriquoi, Kudaushe Matimba;Brazil
5MIINUST, Nublu, nexus;Eesti-S
Real Tears;Rave
Deniece Williams;Disco
Wings;Retro
Belinda Carlisle;Retro
FISHER;Tech-House
Alex Preston;Mainstream Dance
Danny Byrd;Drum&Bass
Bibio;Ambient
Courtney John;Reggae
Klejv;House
Koit Toome;Eesti-S
Missy Elliot ft Pharrell Williams;Nu-Disco
Nelly;RnB
New Look;Neo-Soul
Krystal Klear;Folamour
Washed Out;Ambient
Man Like Me;Neo-Soul
Psycho Radio;Rave
Ready For The World;Disco
Sex on Toast;Pop
Gabry Ponte, Hosanna;Tech-House
System F;Trance
Jaded;House
The Smiths;Retro
Steely Dan;Retro
Touch Sensitive;Prechill
Matt Mus, C.M.A., Cafe De Anatolia;Afro House
Merlyn Uusküla;Eesti-S
DJ Haus;Rave
Tube & Berger, Paji;Progressive
Raf Rundell;Folamour
DJ Hype, Ganja Max, MC Fats;Drum&Bass
Orange Juice;Retro
Sander Mölder, NOËP;Eesti-S
Sigala, Imani Williams, DJ Fresh;EDM
Passion Pit;Pop
Traffic;Eesti-S
Third Eye Blind;90/00s
Âme, Curses;Electronic
The Avalanches;Prechill
Kelly Clarkson;90/00s
Finis Henderson;Retro
Just Brothers;Utility
Popcorn;Prechill
Zee Erf;Prechill
Michaël Brun, Shirazee;Africano
Lyte Funkie Ones;90/00s
Steelo, Larry June;Hip-Hop
Lynyrd Skynyrd;Retro
Tracy Chapman;Retro
High Contrast, Tiësto, Underworld;Drum&Bass
Billy Joel;Retro
Ace Of Base;90/00s
Softmal, LLolita;Nu-Disco
Bruce Hornsby, The Range;Retro
Bomba Estéreo;Reggaeton
Joshua Collins;Prechill
Shenseea;Reggae
Spandau Ballet;Retro
Brooke & Stonebridge;Nu-Disco
Ummamuudu;Eesti-S
Umoja;Prechill
DEW8, Genka, Lil Till;Eesti-S
Omar-S, Mitchell Yoshida;Deeper
Lõke;Eesti-S
Sean Finn, No Hopes;Afro House
Jack Ü, Skrillex, Diplo, Justin Bieber;EDM
Janet Jackson;RnB
Bontan, Surya Sen;Afro House
liv;Retro
AC/DC;Retro
Nbeatz;Beats
KAYTRANADA, Kali Uchis;Neo-Soul
Blackwhole;Africano
Blackwhole, Jullian Gomes;Deeper
Daniel Steinberg;House
M.I.S.T, High Contrast;Drum&Bass
SVNDRA;Eesti-S
Kobe JT;Neo-Soul
Mars Today, Masego;Africano
Hugo;Utility
Dj Amorim;Beats
LAKIM;Beats
The Style Council;Retro
Full Crate, GAIDAA;Prechill
Cybordelics;Deeper
DJ Lilocox, DJ Nax;Africano
Basa Basa;Disco
Wilkinson, Becky Hill;Mainstream Dance
Quincy Jones, Dune;Disco
Sheryl Crow;90/00s
Afriqua;Folamour
Amaarae;BPM Supreme
Estelle, Kanye West;Prechill
Marcia Maria, Bernardo Pinheiro;Folamour
The Sugarhill Gang;Retro
DJ PP, Jack Mood;Nu-Disco
Klubbhuset;House
angelz;House
Gucci Mane;Hip-Hop
In Deep We Trust;House
Roy Ayers;Funk
Salary Boy;Folamour
LOVRA, Dot N Life;Tech-House
Mustard, Roddy Ricch;Hip-Hop
Sister Nancy;Reggae
Rebal 3;Deeper
Louie Vega, Leroy Burgess, The Universal Robot Band, Patrick Adams;Folamour
Genka, Paul Oja;Eesti-S
Artenvielfalt;Nu-Disco
Metroplane;House
Air Power;Disco
Nightmares on Wax;Prechill
Snoop Dogg, Pharrell Williams, Uncle Charlie Wilson;RnB
Joy Wellboy, Dixon;Deeper
Andre Crom;Nu-Disco
Heatwave;Disco
Saucy Santana, Latto;RnB
Twice Movement;Folamour
Nøkken;Deeper
Brand Nubian;Hip-Hop
Dua Lipa, The Blessed Madonna, Jamiroquai;Folamour
The Doors;Retro
Melvin Knight;Neo-Soul
Roni Size, Reprazent;Drum&Bass
Bowser, FM-3;House
Ekany;Neo-Soul
Crookers, Savage Skulls;Rave
Soul Shades;Neo-Soul
Lonetion;Beats
Soulsearcher;Nu-Disco
geods sorèd;Folamour
New Edition;Disco
Cardi B;BPM Supreme
Nenor;Folamour
Cid, Truth x Lies;Tech-House
Käärijä;Utility
Social Lovers;Prechill
Sebjak, Fahlberg;Afro House
Ross Couch;Folamour
Charles J;BPM Supreme
Leis;Eesti-S
Georges;Nu-Disco
Genka;Eesti-S
Majical Cloudz;Ambient
David Bowie;Retro
Claptone & Mylo;BPM Supreme
Harvey Sutherland;Prechill
Leroy Hutson;Disco
KStewart;Neo-Soul
Ne-Yo;RnB
Eric Clapton;Retro
Jalen Ngonda;Prechill
Common;BPM Supreme
Lxury;House
Con Funk Shun;BPM Supreme
Slum Village;Hip-Hop
Spiritchaser;House
Quinten Circle;Tech-House
Nia Archives;Neo-Soul
Ian Pooley;House
Spinners;Disco
USHER;RnB
Ottawan;Disco
DJ Chus, Joeski, Jimmy Lopez;Afro House
Elton John;Retro
J. Cole, TLC;RnB
MAM;Prechill
Beyoncé;RnB
Daddy Yankee;BPM Supreme
DJ Marky, Javeon;Drum&Bass
Mary J. Blige, common;RnB
Carrie Lucas;Disco
Marta Acuna;Disco
Gino Soccio;Disco
Atmosfear;Disco
The Pointer Sisters;Disco
MAXI MERAKI;Afro House
Kraftwerk;Retro
Tom Misch, Carmody;Prechill
Greg Surmacz;Beats
TSHA, Trio Da Kali;Folamour
Pharoahe Monch, Showtyme, MeLa Machinko;Hip-Hop
Jitwam;Neo-Soul
Daniela La Luz;Prechill
Soul of Hex, More Lotion;House
Chuck Witherspoon, Rufus Merryweather & Sonny Jackson;Disco
Boris Vian;Prechill
Bottin;Deeper
Raffaele Ciavolino;Nu-Disco
The Lahaar;Funk
RBL Posse;Hip-Hop
Shintaro Sakamoto;Retro
Cloud One, Margo Williams;Disco
Maxx Traxx;Disco
40 Thieves;Prechill
Change;Disco
Dimitri From Paris, DJ Rocca;Folamour
Philippa, Jimpster, Caré;Prechill
Guy Gerber, Albertina;Deeper
Claptone, Mylo;Mainstream Dance
Dua Lipa;BPM Supreme
Dua Lipa vs Disclosure;BPM Supreme
Deniro Farrar;Hip-Hop
Tea White;Neo-Soul
Antonio Ocasio, Def Raadu;Eesti-S
Steve Reich, Pat Metheny;Ambient
Fredi;Utility
Kareem Ali;Folamour
The Kount, Kaelin Ellis;Neo-Soul
Eric B & Rakim;BPM Supreme
Sabrina Carpenter;Pop
The Sunburst Band;Disco
Joey Negro, Dave Lee, The Sunburst Band;Folamour
Johan Kaseta;Folamour
Diya, Leonardo Das Cabrio;Neo-Soul
Solu Music, Hannah Wants, Kimblee;House
DJ Greaze;Beats
Lakeside;Funk
Mariah Carey, O.D.B.;RnB
Sonz Of A Loop Da Loop Era;Deeper
Bugatti & Musker;Disco
Domenique Dumont;Ambient
Degiheugi, La Fine Equipe;House
Pimp Chic!;Afro House
Moby, Miss Monique;90/00s
Eran Hersh;Afro House
Kings of Tomorrow, Julie McKnight;House
Kube;Hip-Hop
Yellow Magic Orchestra;Retro
Jimmix, Manybeat;Africano
Andrew Ashong, Theo Parrish;Prechill
Robosonic, EPMD;Tech-House
B Beat Girls;Prechill
Kousto;Folamour
Santé;Progressive
Sampa the Great;Prechill
Lost Frequencies, Bomfunk MC's;Trance
Bomfunk MC's;90/00s
Lucien Kimono;Prechill
Pino Presti;Funk
Gwen McCrae;Disco
Trinidadian Deep;Prechill
Tom Tom Club;Disco
Dr. Jeckyll & Mr. Hyde;Disco
TOTO;Retro
Ozone, Teena Marie;Disco
Wizkid, Burna Boy;Africano
Kryder, B Jones;Mainstream Dance
Moby;90/00s
GoldLink ft Jazmine Sullivan & KAYTRANADA;BPM Supreme
Leela James;RnB
Adryiano;House
St. Panther;Hip-Hop
Junglelyd;Utility
Kölsch, Tiga;Progressive
Re-Tide, Steff Daxx;Folamour
Surface;Prechill
Three 6 Mafia, Paula Campbell;Hip-Hop
Mr Vegas;Reggae
Wax Doctor;Drum&Bass
Ewan McVicar;House
Ruudolf;Hip-Hop
Sip€lga14;Eesti-S
Cults;Retro
Dead Prez;Hip-Hop
Teravik;Eesti-S
High Fashion;Disco
DJ Nu-Mark, The Traffic;Prechill
DJ Fresh, Rita Ora;EDM
Thandi Phoenix, Arona Mane;Neo-Soul
House Of Pain;BPM Supreme
Kryptogram;Soulful House
Steve Darko, Claude Vonstroke;Progressive
The Game, 50 Cent;Hip-Hop
Young Edits;Prechill
Ordonez;Nu-Disco
Nipsey Hussle;Hip-Hop
Michael McDonald;Retro
Jack District;House
Joan Jett, The Blackhearts;Utility
The Black Jets;Utility
Kris Kross;90/00s
Royale;Prechill
Big Pun;RnB
Sean Paul, Sasha;Reggae
94 East;Prechill
Loredana Bertè;Brazil
M-Beat, General Levy;90/00s
St. Panther, Raedio;Neo-Soul
Koji Ono;Prechill
Shuggie Otis;Retro
QRM9;Jersey Club
Beastie Boys;Hip-Hop
Isaiah Falls;BPM Supreme
Karma Kid;House
J Balvin;BPM Supreme
Nu Guinea;Prechill
Sho Madjozi;Africano
Tilman, Phonk D;Folamour
Ewert and the Two Dragons;Eesti-S
Chiseko;Neo-Soul
Levi;Afro House
Obongjayar;Neo-Soul
Ari Bald;Prechill
Sebb Junior;Prechill
Junior Sanchez;Folamour
Kendrick Lamar;BPM Supreme
Kendrick Lamar vs House Of Pain;BPM Supreme
Fugees;RnB
Rihanna;RnB
The Souljazz Orchestra;Brazil
Kranium vs Ashanti;BPM Supreme
Sander Mölder, Reket, TIKS;Eesti-S
Reket;Eesti-S
Puuluup;Eesti-S
Supernova;Eesti-S
Genka, Paul Oja, Suur Papa;Eesti-S
Bruno Borlone;Prechill
J Balvin, Bad Bunny;Reggaeton
Phreek Plus One;Folamour
Uptown Funk Empire;Prechill
Cotonete;Prechill
Jay Worthy, Larry June, LNDN DRGS;Hip-Hop
Villemdrillem;Eesti-S
Baby D;90/00s
DJ Kool;Utility
Snoop Dogg;RnB
Dr. Dre, Hittman, Ms. Roq, Kurupt;Hip-Hop
Calvin Harris, Ne-Yo;EDM
Gary's Gang;Folamour
Quadron;Pop
USG, Monica Elam;Folamour
N.E.R.D;Hip-Hop
Nas, AZ;Hip-Hop
Storken;House
Gregory Porter;Folamour
The Jacksons;Folamour
Juls;Africano
Mike Chenery;Nu-Disco
Pelvis Moves;House
DJ Swisha;Neo-Soul
Zé Roberto;Brazil
Barry Biggs;Reggae
JACK MARLOW;Prechill
Fatima Yamaha;Deeper
Moka Only;Hip-Hop
R Plus;Deeper
Shalamar;Disco
Andruss, Fatboi;Tech-House
Closer Musik;Ambient
Mat Zo & Porter Robinson;BPM Supreme
Snacks;Prechill
Da Hool;Trance
Azymuth;Brazil
J Balvin, Willy William;Reggaeton
Softmal;Nu-Disco
Missy Elliott vs Pitbull;BPM Supreme
Adesse Versions;Folamour
Kendrick Lamar, Jay Rock;Hip-Hop
Lady Wray;Prechill
Spoonie Gee, The Sequence;Disco
Noizmakaz;Eesti-S
Harry Romero;House
Cristina Camargo;Brazil
Calussa, Malóne;Afro House
Destination;Prechill
Frits Wentink;Deeper
Tchami, Marshall Jefferson;Tech-House
Marshall Jefferson, Solardo;House
Angelo Ferreri, Karl8, Andrea Monta;Nu-Disco
OMRI.;Neo-Soul
Lebedev (RU), Heilika;House
Mattei & Omich, Fatimah Provillon;Folamour
Rock Da Cat;House
Justin Timberlake, T.I.;RnB
Armand Van Helden;House
Mr. Fingers;Afro House
Bruxas;Prechill
Eesti TV, Raadio Estraadiorkester;Eesti-S
SIP€LGA, YOHAN;Eesti-S
Sven Grünberg;Eesti-S
Camarão Orkestra;Prechill
Starboy Bob, AG;Eesti-S
DJ Heartstring;Rave
Andhim;Deeper
Surprise Chef;Prechill
Grandmaster Flash, Melle Mel, The Furious Five;Hip-Hop
Roses Gabor;Africano
DJ Snake;Mainstream Dance
AYOUBYME;Africano
MXTT HXLL;Neo-Soul
Patryk Molinari;Folamour
Mannix;Prechill
Flakes;Disco
Polymod;Folamour
Tom Enzy;EDM
Dylan Fogarty;Deeper
Nate Dogg, Warren G.;Hip-Hop
Aesop Rock;Hip-Hop
Wyld Dogz, John B, The Young Punx!;Drum&Bass
Makadem, BEHR;Brazil
Swales;House
Catching Flies, Sofia Kourtesis;Folamour
Erykah Badu;Pop
Bobby Brown;Retro
Chris Rea;Retro
DJ Island;Folamour
Eagles;Retro
Crazy P;Prechill
LEYO;Neo-Soul
Cola, Jimmu;Soulful House
Guano Apes;90/00s
Rishi Love;Mainstream Dance
Alexny;Folamour
Eric Kupper, Kenny Summit, PROPER;House
5MIINUST, Villemdrillem;Eesti-S
Gene Dunlap;Disco
Van McCoy;Disco
Snoop Dogg, Charlie Wilson;RnB
Bad Art;Eesti-S
Khruangbin, Quantic;Brazil
Thrife;Hip-Hop
Wild Cherry;Funk
Bizarre Inc;90/00s
Junior Murvin;Reggae
Kornél Kovács;Deeper
Bebeto;Brazil
Tiësto, Black Eyed Peas;EDM
Salt-N-Pepa;90/00s
Frank Stallone;Funk
Akinyele ft Kia Jeffries;Hip-Hop
Borrowed Identity;Prechill
Dombresky, Cid;House
Mike Woods;Prechill
Blondie;Disco
Artful Dodger, Craig David;Neo-Soul
Dogger, Mindstate, Liam Bailey;Drum&Bass
Warren G., Nate Dogg;Hip-Hop
Frankie Goes To Hollywood;Retro
Ramiz;Utility
Craig David;90/00s
Nelly, City Spud;RnB
Rihanna vs Wilfy D;BPM Supreme
Duran Duran;Retro
Jayda G;Folamour
Gary Glitter;Retro
The Blackbyrds;Funk
Gorillaz, Del Tha Funkee Homosapien;Prechill
Outunder;Folamour
Marcus Marr;Folamour
Herbie Hancock;Hip-Hop
Afro B;Africano
Late London, Fátima;Folamour
Christy Essien Igbokwe;Disco
Deetron;Deeper
Lovebirds;Prechill
Angelo Ferreri, Moon Rocket, LauMii;Nu-Disco
Edu Kehäkettunen, DJPP, Stig Dogg;Hip-Hop
Amadou & Mariam;Pop
Peppe Citarella, Ronny Santana;Afro House
MATTN, SELVA;EDM
Darude;Trance
Freejak;EDM
Al Dobson Jr;Deeper
Sofia Kourtesis;Deeper
Saweetie;BPM Supreme
KIDY, Marci;Afro House
Ajukaja, Mart Avi;Eesti-S
Jau;Brazil
Tim Green;Deeper
DJ Haus, Lone;Deeper
Eric Roberson, Cory Henry;Prechill
The White Stripes;Retro
Gaullin, Julian Perretta;EDM
SG Lewis & Lucky Daye;BPM Supreme
Johnny Pate;Funk
Dutchican Soul;Nu-Disco
Free Nationals, SYD;Prechill
Zepherin Saint, Miranda Nicole;Africano
Soul Clap, Purple Disco Machine, Boris Dlugosch, Nona Hendryx;Prechill
Frankie Nanna;Folamour
DJ Mehdi;Electronic
Tokischa, yomel el meloso, Paulus Music, Leo RD;Reggaeton
The Notorious B.I.G., 112;Hip-Hop
Teno Afrika & SilvadropZ;Africano
Bobby Morganstein;Utility
Snoop Dogg ft Pharrell;BPM Supreme
Whitney Houston;Disco
1 9 0 5, Former City Records;Neo-Soul
Terrence Parker;Folamour
Bosq, Kaleta & The Ibibio Horns;Folamour
Soundstream;Folamour
Freeez, Dr Packer;Folamour
Freeez;Disco
Traxman;Folamour
Leslie Lello;Folamour
STONE COLD LTD.;Afro House
Dave & Omar;Prechill
Simply Red;Retro
The Roots;Hip-Hop
Three 6 Mafia, Slim Thug, Trick Daddy, Project Pat;Hip-Hop
JT Donaldson, Liv.e;Neo-Soul
Jungle Brothers;Hip-Hop
Phortune;Soulful House
Kaelin Ellis;Beats
Ghetto Boy;Africano
Agent!, Dompe;House
Seals and Crofts;Retro
Karriem Riggins;Beats
Armand Van Helden, Mi Madre;Prechill
Funkstar Deluxe;Mainstream Dance
Rahel;Eesti-S
Frigid Armadillo, Sun-El Musician;Afro House
Dario D'Attis;Folamour
Group Home;Hip-Hop
Etienne de Crécy, Alex Gopher;Prechill
Ponzu Island;Prechill
Phil Weeks;House
Curtis Mayfield;Funk
Groove Armada, Declan Knapp;Neo-Soul
Mobb Deep;Hip-Hop
Tag Team;BPM Supreme
Slum Village, Dwele;Hip-Hop
Shay Lia;Neo-Soul
Shygirl;Rave
Gome;Nu-Disco
Brenmar;Folamour
Paraíso;Prechill
Breach;Deeper
LEYO, Toman, Thierry Ganz;Neo-Soul
Ten City;Soulful House
DJ Clue, Mase, Foxy Brown, Fabolous Sport;RnB
Caiiro;Afro House
G.L.A.M., Colbie;Hip-Hop
Ron Basejam;Folamour
Curren$y, Harry Fraud, Wiz Khalifa;Hip-Hop
Quincy Jones;Funk
fynn;Folamour
Change, Luther Vandross;Disco
Arena Themes;Utility
Marshall Jefferson;House
Ken@Work;Folamour
DJ Jean;Trance
Young Thug, J. Cole, Travis Scott;Hip-Hop
Flame Griller;Pop
Classic Movie Tones;Utility
Friend Within;House
Black Light Smoke;Deeper
J Dilla, Kenny Wray;Hip-Hop
Michael Gray;Mainstream Dance
Isaac Hayes;Utility
Room 5;Mainstream Dance
Ice Spice;RnB
Nic Fanciulli, RETNA;Tech-House
Talking Heads;Retro
Donna Summer;Retro
Three 6 Mafia;BPM Supreme
INOJ;Neo-Soul
Luka Sambe;Deeper
Fragma;Trance
Cornelius Brothers, Sister Rose;Funk
Groove Motion;Folamour
DVBBS, Borgeous;EDM
Never Dull;Folamour
Pierre Johnson, Oscar Mbo;Africano
Tui;Neo-Soul
Cheesecake Boys, Crazibiza;Tech-House
Janno Reim & Kosmos;Eesti-S
Bananarama;Retro
ANOTR, Abel Balder;Prechill
India.Arie;Prechill
Cristalli Liquidi;Retro
Mike Pickering, Graeme Park, Manchester Camerata, Tim Crooks;Prechill
Doc Daneeka, Ratcatcher;House
The Beatnuts;Hip-Hop
Kill Them With Colour;Folamour
Queen;Utility
Led Zeppelin;Retro
Twisted Sister;Retro
James Pants;Prechill
Sleaford Mods, Extnddntwrk;Electronic
Ginobeat;Prechill
p-rallel, Venna;Neo-Soul
Boz Scaggs;Retro
Joey Chicago;Folamour
Doc Daneeka, Seven Davis Jr.;House
Brasstracks;Neo-Soul
Jens Lekman;Prechill
Indeep;Disco
Bobby Analog;Folamour
Rasa;Prechill
Afu-Ra;Hip-Hop
Mustard, Travis Scott;Neo-Soul
Andruss, Juarez;Tech-House
DJ Premier, Wale;Hip-Hop
Wiz Khalifa ft Larry June;BPM Supreme
Memblem;Beats
Louie Vega, George Lamond;Prechill
Robosonic;Tech-House
Fabio Aurea, Toshi;Progressive
Michael Jackson;Retro
Sticks & Stonez, Liv East;Folamour
Biscits;House
Tom Carruthers, Harriet Brown;
John Beltran;
Amber;
Maurice Joshua;
Smallpeople;
DJ Deep;
Sem Jacobs, Tagmann;
Daniel Haaksman;
Sal Panzera;
Josh Ludlow;
The Daou;
Alps 2;
Bensy;
69;
Collect 200;
NEIL FRANCES;
AF13;
Mo Wrights, Miguel Valente;
UB40;90/00s
Chocolate Spread, Oscar P, Keith Thompson;Folamour
Seltskond Pargis;Eesti-S
Muzi;Neo-Soul
Wailing Souls;Reggae
Omri Smadar, Roy Shpilman;Progressive
Mr. Lawrence;Eesti-S
Pépe;Deeper
Barbatuques;Afro House
Justin Bieber;Pop
KC Lights, Låpsley;House
Mattafix;Pop
Robin Thicke, T.I., Pharrell Williams;RnB
Patrick Hernandez;Disco
Admin;Prechill
Red Axes, Abrão;Progressive
Gary Numan;Retro
The Knocks, Fetty Wap, Powers;Pop
Redbone;Disco
The Supremes;Retro
The Cleaners From Venus;Retro
;House
Benny Bridges;Mainstream Dance
One Way;Disco
Swedish House Mafia, John Martin;EDM
Men At Work;Retro
Trad.Attack!;Eesti-S
Cherokee;Prechill
Peven Everett, Deetron;Deeper
Boris Gardiner;Funk
Slightly Stoopid, B-Real, G. Love;Hip-Hop
Zsak;Mainstream Dance
Frankie HI-NRG MC;Utility
The Floaters;Disco
Brødrene Olsen;Utility
Gucci Mane, Pharrell Williams;RnB
Redondo Beach;Prechill
Saint Etienne;90/00s
The Chemical Brothers;Electronic
Emmaculate;Folamour
David Bay;Pop
Edward Sharpe & The Magnetic Zeros;Pop
America;Retro
Bobby Shmurda;Hip-Hop
Netsky;Drum&Bass
Scissor Sisters;Pop
New Paradise;Disco
A$AP Rocky, Imogen Heap, Clams Casino;Hip-Hop
Meat Loaf;Utility
Clams Casino, Imogen Heap;Beats
SOPHIE;Deeper
The Goo Goo Dolls;Pop
Funkatomic;Nu-Disco
Actress;Beats
Hallelujah Chicken Run Band;Brazil
Põhja-Tallinn, Anne Veski, Pearu Paulus, Merlyn Uusküla, Uku Suviste, Uudo Sepp, Krislin Sallo, Tobias Rosentau;Eesti-S
Will Sessions;Beats
Tintura;Eesti-S
Riccio;Prechill
The Cranberries;Pop
Dj Ma-Eli, Dj Tea-Kay, Bojo Mujo, Steph;Folamour
Reyna Tropical;Neo-Soul
Kalle Kukk ja Astra;Eesti-S
Beck;90/00s
Lup Ino;Folamour
The Establishment;Folamour
Joy Division;Retro
Heleza;Eesti-S
Ricchi E Poveri;Retro
Lumevärv;Eesti-S
Watergate;Trance
Jonas Rathsman;Progressive
Chance the Rapper, Lil Wayne, 2 Chainz;Hip-Hop
Street Player;Folamour
Pusha T;Hip-Hop
Delegation;Retro
FootRocket;Prechill
Toby Foyeh;Brazil
M.I.A.;Prechill
Mr Maze;Eesti-S
Take That;90/00s
Murkage Dave;Prechill
Wallace;Prechill
Pedrodollar;Prechill
Flashmob;Folamour
Bibio, Olivier St Louis;Prechill
Roosevelt;Deeper
Fine Young Cannibals;Retro
The Cult;Retro
Terminé;Prechill
Bryan Ferry;Retro
The Chainsmokers, Coldplay;Pop
Bryony Jarman-Pinto;Prechill
Victor Crone;Eesti-S
Stealers Wheel;Retro
Bodysync, Daniela Andrade, Ryan Hemsworth, Giraffage;Folamour
John Travolta, Olivia Newton-John;Retro
Genius Of Time;Deeper
The Temper Trap;Pop
Vanilla;Prechill
Dj Streaks;Folamour
Santana, Michelle Branch;Prechill
Harold Melvin & The Blue Notes, Teddy Pendergrass;Funk
Joel Corry, Da Hool;Tech-House
ishi vu;Ambient
Swoof;Progressive
MGMT;Electronic
Next;RnB
DRS, Tyler Daley, Lsb;Drum&Bass
Wizards Of Ooze;Funk
Southern Shores;Prechill
Chaka Demus & Pliers, Jack Radics, The Taxi Gang;Retro
Queen, David Bowie;Retro
Guri & Eider, GURI, Eider;Prechill
Shakira, Freshlyground;Pop
Cher;Retro
Mark Van Dale, Enrico;Trance
Miguel;Prechill
Skrillex, PinkPantheress, Trippie Redd;Neo-Soul
DJ Pantelis;EDM
The Gap Band;Funk
Chilly Gonzales;Electronic
New Radicals;90/00s
LaRombé;Disco
The Bluebells;Retro
Kai Tracid;Trance
Rollets;
Dave DK;
Colter Carson;
Steve Reich, Bob Becker, Chris Finckel, Claire Bergmann, David Van Tieghem, Douglas Hedwig, Ed Joffe, Edmund Niemann, Elizabeth Arnold, Gary Schall, Glen Velez, James Dooley, James Hamlin, James Preiss, Jay Clayton, Judith Sugarman, Larry Karush, Lewis Paer, Marshall Farr, Michael Finckel, Mort Silver, Nurit Tilles, Robert Chausow, Richard Schwarz, Russ Hartenberger, Ruth Siegler, Shem Guibbory, Vincent Gnojek, Virgin Blackwell;
Disclosure;
Alexander O'Neal;Disco
Namliss;Africano
Zerb, Kiki Gyan;House
Kelis;RnB
Your Old Droog, Tha God Fahim;Hip-Hop
Teed;Folamour
Cotonete, Di Melo;Disco
Di Melo, Cotonete;Disco
Arop, Lea Dali Lion;Eesti-S
Ice Cube, Too $hort;Hip-Hop
Apollo 440;90/00s
2Pac, Yaki Kadafi, Snoop Dogg, Nate Dogg, Fatal;Hip-Hop
Kartell, Che Lingo;Prechill
Chance the Rapper, Knox Fortune;Folamour
Mary Jane Girls;Disco
Justin Vibes;Hip-Hop
Eero Johannes;Beats
DJ Mitsu The Beats;Beats
Melé;House
The Whispers;Disco
"Damian Jr. Gong"" Marley""";Reggae
Luke Million;Disco
The Foreign Exchange, Stro Elliot;Prechill
Cameo;Disco
Infinity Ink;Disco
Pete Rock;Beats
"Evelyn Champagne"" King""";Disco
Blaqstarr;Beats
Drinche;Beats
Jerome Sydenham, Mania Toro;House
Migos, 21 Savage;Hip-Hop
Love;Funk
KW Griff;Neo-Soul
Teedra Moses;RnB
Etienne de Crécy;Rave
Unwrapped;Prechill
Everything But The Girl;Prechill
laurel 2;Eesti-S
Princess Di;House
Latto, Mariah Carey, DJ Khaled;RnB
Jay de Lys;House
Raff Riff highroller;Hip-Hop
Arthur Verocai;Brazil
Ram Jam;Retro
MF DOOM;Prechill
